------------------------------------------------------------
 Wavefunction  1
------------------------------------------------------------
Distance (nm), Wavefunction (arbitrary units)
                22.1,             1.35e-05
                22.2,             1.28e-05
                22.3,             1.21e-05
                22.4,             1.15e-05
                22.5,             1.09e-05
                22.6,             1.03e-05
                22.7,             9.73e-06
                22.8,             9.22e-06
                22.9,             8.73e-06
                  23,             8.26e-06
                23.1,             7.82e-06
                23.2,             7.41e-06
                23.3,             7.01e-06
                23.4,             6.64e-06
                23.5,             6.29e-06
                23.6,             5.95e-06
                23.7,             5.64e-06
                23.8,             5.34e-06
                23.9,             5.06e-06
                  24,             4.79e-06
                24.1,             4.53e-06
                24.2,             4.29e-06
                24.3,             4.06e-06
                24.4,             3.85e-06
                24.5,             3.64e-06
                24.6,             3.45e-06
                24.7,             3.27e-06
                24.8,             3.09e-06
                24.9,             2.93e-06
                  25,             2.77e-06
                25.1,             2.63e-06
                25.2,             2.49e-06
                25.3,             2.35e-06
                25.4,             2.23e-06
                25.5,             2.11e-06
                25.6,                2e-06
                25.7,             1.89e-06
                25.8,             1.79e-06
                25.9,              1.7e-06
                  26,             1.61e-06
                26.1,             1.52e-06
                26.2,             1.44e-06
                26.3,             1.36e-06
                26.4,             1.29e-06
                26.5,             1.22e-06
                26.6,             1.16e-06
                26.7,              1.1e-06
                26.8,             1.04e-06
                26.9,             9.83e-07
                  27,             9.31e-07
                27.1,             8.81e-07
                27.2,             8.35e-07
                27.3,              7.9e-07
                27.4,             7.48e-07
                27.5,             7.09e-07
                27.6,             6.71e-07
                27.7,             6.35e-07
                27.8,             6.02e-07
                27.9,              5.7e-07
                  28,             5.39e-07
                28.1,             5.11e-07
                28.2,             4.84e-07
                28.3,             4.58e-07
                28.4,             4.34e-07
                28.5,             4.11e-07
                28.6,             3.89e-07
                28.7,             3.68e-07
                28.8,             3.49e-07
                28.9,              3.3e-07
                  29,             3.13e-07
                29.1,             2.96e-07
                29.2,             2.81e-07
                29.3,             2.66e-07
                29.4,             2.52e-07
                29.5,             2.38e-07
                29.6,             2.26e-07
                29.7,             2.14e-07
                29.8,             2.03e-07
                29.9,             1.92e-07
                  30,             1.82e-07
                30.1,             1.72e-07
                30.2,             1.63e-07
                30.3,             1.55e-07
                30.4,             1.46e-07
                30.5,             1.39e-07
                30.6,             1.31e-07
                30.7,             1.25e-07
                30.8,             1.18e-07
                30.9,             1.12e-07
                  31,             1.06e-07
                31.1,             1.01e-07
                31.2,             9.55e-08
                31.3,             9.06e-08
                31.4,             8.59e-08
                31.5,             8.15e-08
                31.6,             7.74e-08
                31.7,             7.35e-08
                31.8,             6.98e-08
                31.9,             6.63e-08
                  32,              6.3e-08
                32.1,             5.99e-08
                32.2,              5.7e-08
                32.3,             5.43e-08
                32.4,             5.17e-08
                32.5,             4.92e-08
                32.6,              4.7e-08
                32.7,             4.48e-08
                32.8,             4.28e-08
                32.9,             4.09e-08
                  33,             3.91e-08
                33.1,             3.75e-08
                33.2,              3.6e-08
                33.3,             3.45e-08
                33.4,             3.32e-08
                33.5,              3.2e-08
                33.6,             3.09e-08
                33.7,             2.98e-08
                33.8,             2.89e-08
                33.9,              2.8e-08
                  34,             2.72e-08
                34.1,             2.65e-08
                34.2,             2.59e-08
                34.3,             2.54e-08
                34.4,             2.49e-08
                34.5,             2.45e-08
                34.6,             2.42e-08
                34.7,             2.39e-08
                34.8,             2.38e-08
                34.9,             2.37e-08
                  35,             2.36e-08

------------------------------------------------------------
 Potential Energy
------------------------------------------------------------
, Potential Energy (eV)
                 -35,                  0.2
               -34.9,                  0.2
               -34.8,                  0.2
               -34.7,                  0.2
               -34.6,                  0.2
               -34.5,                  0.2
               -34.4,                  0.2
               -34.3,                  0.2
               -34.2,                  0.2
               -34.1,                  0.2
                 -34,                  0.2
               -33.9,                  0.2
               -33.8,                  0.2
               -33.7,                  0.2
               -33.6,                  0.2
               -33.5,                  0.2
               -33.4,                  0.2
               -33.3,                  0.2
               -33.2,                  0.2
               -33.1,                  0.2
                 -33,                  0.2
               -32.9,                  0.2
               -32.8,                  0.2
               -32.7,                  0.2
               -32.6,                  0.2
               -32.5,                  0.2
               -32.4,                  0.2
               -32.3,                  0.2
               -32.2,                  0.2
               -32.1,                  0.2
                 -32,                  0.2
               -31.9,                  0.2
               -31.8,                  0.2
               -31.7,                  0.2
               -31.6,                  0.2
               -31.5,                  0.2
               -31.4,                  0.2
               -31.3,                  0.2
               -31.2,                  0.2
               -31.1,                  0.2
                 -31,                  0.2
               -30.9,                  0.2
               -30.8,                  0.2
               -30.7,                  0.2
               -30.6,                  0.2
               -30.5,                  0.2
               -30.4,                  0.2
               -30.3,                  0.2
               -30.2,                  0.2
               -30.1,                  0.2
                 -30,                  0.2
               -29.9,                  0.2
               -29.8,                  0.2
               -29.7,                  0.2
               -29.6,                  0.2
               -29.5,                  0.2
               -29.4,                  0.2
               -29.3,                  0.2
               -29.2,                  0.2
               -29.1,                  0.2
                 -29,                  0.2
               -28.9,                  0.2
               -28.8,                  0.2
               -28.7,                  0.2
               -28.6,                  0.2
               -28.5,                  0.2
               -28.4,                  0.2
               -28.3,                  0.2
               -28.2,                  0.2
               -28.1,                  0.2
                 -28,                  0.2
               -27.9,                  0.2
               -27.8,                  0.2
               -27.7,                  0.2
               -27.6,                  0.2
               -27.5,                  0.2
               -27.4,                  0.2
               -27.3,                  0.2
               -27.2,                  0.2
               -27.1,                  0.2
                 -27,                  0.2
               -26.9,                  0.2
               -26.8,                  0.2
               -26.7,                  0.2
               -26.6,                  0.2
               -26.5,                  0.2
               -26.4,                  0.2
               -26.3,                  0.2
               -26.2,                  0.2
               -26.1,                  0.2
                 -26,                  0.2
               -25.9,                  0.2
               -25.8,                  0.2
               -25.7,                  0.2
               -25.6,                  0.2
               -25.5,                  0.2
               -25.4,                  0.2
               -25.3,                  0.2
               -25.2,                  0.2
               -25.1,                  0.2
                 -25,                  0.2
               -24.9,                  0.2
               -24.8,                  0.2
               -24.7,                  0.2
               -24.6,                  0.2
               -24.5,                  0.2
               -24.4,                  0.2
               -24.3,                  0.2
               -24.2,                  0.2
               -24.1,                  0.2
                 -24,                  0.2
               -23.9,                  0.2
               -23.8,                  0.2
               -23.7,                  0.2
               -23.6,                  0.2
               -23.5,                  0.2
               -23.4,                  0.2
               -23.3,                  0.2
               -23.2,                  0.2
               -23.1,                  0.2
                 -23,                  0.2
               -22.9,                  0.2
               -22.8,                  0.2
               -22.7,                  0.2
               -22.6,                  0.2
               -22.5,                  0.2
               -22.4,                  0.2
               -22.3,                  0.2
               -22.2,                  0.2
               -22.1,                  0.2
                 -22,                  0.2
               -21.9,                  0.2
               -21.8,                  0.2
               -21.7,                  0.2
               -21.6,                  0.2
               -21.5,                  0.2
               -21.4,                  0.2
               -21.3,                  0.2
               -21.2,                  0.2
               -21.1,                  0.2
                 -21,                  0.2
               -20.9,                  0.2
               -20.8,                  0.2
               -20.7,                  0.2
               -20.6,                  0.2
               -20.5,                  0.2
               -20.4,                  0.2
               -20.3,                  0.2
               -20.2,                  0.2
               -20.1,                  0.2
                 -20,                  0.2
               -19.9,                  0.2
               -19.8,                  0.2
               -19.7,                  0.2
               -19.6,                  0.2
               -19.5,                  0.2
               -19.4,                  0.2
               -19.3,                  0.2
               -19.2,                  0.2
               -19.1,                  0.2
                 -19,                  0.2
               -18.9,                  0.2
               -18.8,                  0.2
               -18.7,                  0.2
               -18.6,                  0.2
               -18.5,                  0.2
               -18.4,                  0.2
               -18.3,                  0.2
               -18.2,                  0.2
               -18.1,                  0.2
                 -18,                  0.2
               -17.9,                  0.2
               -17.8,                  0.2
               -17.7,                  0.2
               -17.6,                  0.2
               -17.5,                  0.2
               -17.4,                  0.2
               -17.3,                  0.2
               -17.2,                  0.2
               -17.1,                  0.2
                 -17,                  0.2
               -16.9,                  0.2
               -16.8,                  0.2
               -16.7,                  0.2
               -16.6,                  0.2
               -16.5,                  0.2
               -16.4,                  0.2
               -16.3,                  0.2
               -16.2,                  0.2
               -16.1,                  0.2
                 -16,                  0.2
               -15.9,                  0.2
               -15.8,                  0.2
               -15.7,                  0.2
               -15.6,                  0.2
               -15.5,                  0.2
               -15.4,                  0.2
               -15.3,                  0.2
               -15.2,                  0.2
               -15.1,                  0.2
                 -15,                  0.2
               -14.9,                  0.2
               -14.8,                  0.2
               -14.7,                  0.2
               -14.6,                  0.2
               -14.5,                  0.2
               -14.4,                  0.2
               -14.3,                  0.2
               -14.2,                  0.2
               -14.1,                  0.2
                 -14,                  0.2
               -13.9,                  0.2
               -13.8,                  0.2
               -13.7,                  0.2
               -13.6,                  0.2
               -13.5,                  0.2
               -13.4,                  0.2
               -13.3,                  0.2
               -13.2,                  0.2
               -13.1,                  0.2
                 -13,                  0.2
               -12.9,                  0.2
               -12.8,                  0.2
               -12.7,                  0.2
               -12.6,                  0.2
               -12.5,                  0.2
               -12.4,                  0.2
               -12.3,                  0.2
               -12.2,                  0.2
               -12.1,                  0.2
                 -12,                  0.2
               -11.9,                  0.2
               -11.8,                  0.2
               -11.7,                  0.2
               -11.6,                  0.2
               -11.5,                  0.2
               -11.4,                  0.2
               -11.3,                  0.2
               -11.2,                  0.2
               -11.1,                  0.2
                 -11,                  0.2
               -10.9,                  0.2
               -10.8,                  0.2
               -10.7,                  0.2
               -10.6,                  0.2
               -10.5,                  0.2
               -10.4,                  0.2
               -10.3,                  0.2
               -10.2,                  0.2
               -10.1,                  0.2
                 -10,                  0.2
                -9.9,                  0.2
                -9.8,                  0.2
                -9.7,                  0.2
                -9.6,                  0.2
                -9.5,                  0.2
                -9.4,                  0.2
                -9.3,                  0.2
                -9.2,                  0.2
                -9.1,                  0.2
                  -9,                  0.2
                -8.9,                  0.2
                -8.8,                  0.2
                -8.7,                  0.2
                -8.6,                  0.2
                -8.5,                  0.2
                -8.4,                  0.2
                -8.3,                  0.2
                -8.2,                  0.2
                -8.1,                  0.2
                  -8,                  0.2
                -7.9,                  0.2
                -7.8,                  0.2
                -7.7,                  0.2
                -7.6,                  0.2
                -7.5,                  0.2
                -7.4,                  0.2
                -7.3,                  0.2
                -7.2,                  0.2
                -7.1,                  0.2
                  -7,                  0.2
                -6.9,                  0.2
                -6.8,                  0.2
                -6.7,                  0.2
                -6.6,                  0.2
                -6.5,                  0.2
                -6.4,                  0.2
                -6.3,                  0.2
                -6.2,                  0.2
                -6.1,                  0.2
                  -6,                  0.2
                -5.9,                  0.2
                -5.8,                  0.2
                -5.7,                  0.2
                -5.6,                  0.2
                -5.5,                  0.2
                -5.4,                  0.2
                -5.3,                  0.2
                -5.2,                  0.2
                -5.1,                  0.2
                  -5,                    0
                -4.9,                    0
                -4.8,                    0
                -4.7,                    0
                -4.6,                    0
                -4.5,                    0
                -4.4,                    0
                -4.3,                    0
                -4.2,                    0
                -4.1,                    0
                  -4,                    0
                -3.9,                    0
                -3.8,                    0
                -3.7,                    0
                -3.6,                    0
                -3.5,                    0
                -3.4,                    0
                -3.3,                    0
                -3.2,                    0
                -3.1,                    0
                  -3,                    0
                -2.9,                    0
                -2.8,                    0
                -2.7,                    0
                -2.6,                    0
                -2.5,                    0
                -2.4,                    0
                -2.3,                    0
                -2.2,                    0
                -2.1,                    0
                  -2,                    0
                -1.9,                    0
                -1.8,                    0
                -1.7,                    0
                -1.6,                    0
                -1.5,                    0
                -1.4,                    0
                -1.3,                    0
                -1.2,                    0
                -1.1,                    0
                  -1,                    0
                -0.9,                    0
                -0.8,                    0
                -0.7,                    0
                -0.6,                    0
                -0.5,                    0
                -0.4,                    0
                -0.3,                    0
                -0.2,                    0
                -0.1,                    0
            2.28e-13,                    0
                 0.1,                    0
                 0.2,                    0
                 0.3,                    0
                 0.4,                    0
                 0.5,                    0
                 0.6,                    0
                 0.7,                    0
                 0.8,                    0
                 0.9,                    0
                   1,                    0
                 1.1,                    0
                 1.2,                    0
                 1.3,                    0
                 1.4,                    0
                 1.5,                    0
                 1.6,                    0
                 1.7,                    0
                 1.8,                    0
                 1.9,                    0
                   2,                    0
                 2.1,                    0
                 2.2,                    0
                 2.3,                    0
                 2.4,                    0
                 2.5,                    0
                 2.6,                    0
                 2.7,                    0
                 2.8,                    0
                 2.9,                    0
                   3,                    0
                 3.1,                    0
                 3.2,                    0
                 3.3,                    0
                 3.4,                    0
                 3.5,                    0
                 3.6,                    0
                 3.7,                    0
                 3.8,                    0
                 3.9,                    0
                   4,                    0
                 4.1,                    0
                 4.2,                    0
                 4.3,                    0
                 4.4,                    0
                 4.5,                    0
                 4.6,                    0
                 4.7,                    0
                 4.8,                    0
                 4.9,                    0
                   5,                    0
                 5.1,                  0.2
                 5.2,                  0.2
                 5.3,                  0.2
                 5.4,                  0.2
                 5.5,                  0.2
                 5.6,                  0.2
                 5.7,                  0.2
                 5.8,                  0.2
                 5.9,                  0.2
                   6,                  0.2
                 6.1,                  0.2
                 6.2,                  0.2
                 6.3,                  0.2
                 6.4,                  0.2
                 6.5,                  0.2
                 6.6,                  0.2
                 6.7,                  0.2
                 6.8,                  0.2
                 6.9,                  0.2
                   7,                  0.2
                 7.1,                  0.2
                 7.2,                  0.2
                 7.3,                  0.2
                 7.4,                  0.2
                 7.5,                  0.2
                 7.6,                  0.2
                 7.7,                  0.2
                 7.8,                  0.2
                 7.9,                  0.2
                   8,                  0.2
                 8.1,                  0.2
                 8.2,                  0.2
                 8.3,                  0.2
                 8.4,                  0.2
                 8.5,                  0.2
                 8.6,                  0.2
                 8.7,                  0.2
                 8.8,                  0.2
                 8.9,                  0.2
                   9,                  0.2
                 9.1,                  0.2
                 9.2,                  0.2
                 9.3,                  0.2
                 9.4,                  0.2
                 9.5,                  0.2
                 9.6,                  0.2
                 9.7,                  0.2
                 9.8,                  0.2
                 9.9,                  0.2
                  10,                  0.2
                10.1,                  0.2
                10.2,                  0.2
                10.3,                  0.2
                10.4,                  0.2
                10.5,                  0.2
